database,sequence,year,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99
dc_TKY_y18_d,275,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,36,82,154,563,1458,3996,9197,17627,30890,53997,92029,142688,181986,198690,164111,124691,89105,62548,42617,28054,18258,11837,5937,4690,2303,1314,801,480,281,187,114,85,41,42,35,32,27,11,12,10,2,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,276,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,38,121,314,796,1847,3935,8641,15473,26252,45200,76901,119770,160888,174612,173534,136191,102664,74736,53937,38787,26701,18039,12421,7041,5925,2695,1715,817,474,254,139,70,36,14,12,10,3,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,277,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,36,47,184,544,1097,2320,4634,10181,18297,28057,45420,78364,123037,172021,188974,184165,142442,109716,77459,49222,28691,14403,6765,3035,1155,546,134,38,18,7,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,278,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,66,174,595,1115,2067,3619,6640,12025,19364,29851,49547,84325,129978,173084,179946,167607,128761,99570,72964,51876,33679,20747,11689,6253,2774,1718,548,252,103,40,20,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,279,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,25,95,242,585,1303,2358,3589,5408,7275,11900,20033,31957,52285,81204,120397,163179,175117,167580,129010,98329,73163,54083,37295,23984,14334,8251,3793,2451,986,449,190,105,29,21,12,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,280,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,213,866,1801,3527,5008,6892,8568,15996,34056,71382,130219,189850,193542,147723,120454,131558,111345,69493,31738,11517,3689,1138,346,71,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,281,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,91,198,524,1211,2536,4312,5511,6651,7728,11299,21114,41173,68328,101400,137048,164827,163364,150348,115877,89818,66722,47926,32125,20759,12824,7988,3921,2936,1181,624,323,165,71,39,29,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,282,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,78,265,723,1750,3830,5384,6655,7875,10823,21154,49759,88964,128969,166211,179273,152842,126704,100015,82968,62356,42377,25457,13957,7014,3396,1253,637,199,95,25,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,283,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97,476,1326,2578,3927,5390,7192,10860,24740,64006,111881,150768,162345,149950,117824,113264,111874,101817,73117,42944,21219,8852,3196,1024,262,76,16,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,284,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,241,715,1563,3152,7149,60157,206157,266267,200217,113966,81178,92662,116774,85853,40371,11633,2606,324,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,285,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,87,242,569,1149,2573,4631,10382,32090,84329,145841,173249,161206,131011,105122,104097,101089,90199,68005,41097,20498,9108,3230,915,218,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,286,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,52,145,331,766,1649,3699,8064,21411,64850,132399,178745,174805,138815,105545,79549,75929,72986,70591,60163,44530,28011,15238,7598,3305,1152,487,114,42,26,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,287,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,24,49,107,427,1490,3691,8279,20725,54187,109102,149392,152998,135195,113130,93483,87144,76966,71378,60993,49857,37347,25703,16678,10288,5120,3943,1646,832,433,216,104,51,20,16,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,288,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,15,50,248,1067,2890,8179,27463,77477,142351,168562,148410,114886,94679,80967,80305,75855,71598,61915,49431,35237,22654,13269,7141,3159,1987,669,340,143,57,11,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,289,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,67,287,785,1424,3842,15176,52168,119660,163638,153207,119535,93793,82608,75532,77112,72593,68212,59127,46806,33544,21689,13152,7810,3963,2876,1186,633,291,173,74,34,9,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,290,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,129,435,760,1134,3820,18016,69981,147606,179455,148197,109695,88645,80077,74532,76017,71713,65805,54135,40391,26908,15964,8709,4523,2143,1330,524,218,95,24,17,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dc_TKY_y18_d,291,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,18,73,357,744,2057,8183,32333,99705,176391,187470,142757,104512,86487,79539,69926,67440,59968,53061,42190,30333,19915,12430,6968,3979,1842,1318,561,237,122,51,35,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
