"","Name","Width","Height","Unmasked_Pixels","MeanGcc"
"93","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_098_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332263529462517
"94","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_099_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334599716877452
"95","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_100_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.336088603938783
"96","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_101_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334163739856941
"97","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_102_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335488519092507
"98","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_103_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334781502362013
"99","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_104_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334568497612492
"100","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_105_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334846145943044
"101","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_106_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333535550571816
"102","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_107_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335336743179353
"103","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_108_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33629200494916
"104","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_109_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335971471134031
"105","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_110_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.332269939467525
"106","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_111_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331152952942695
"107","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_112_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33505380859784
"108","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_113_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334522592962899
