"","Name","Width","Height","Unmasked_Pixels","MeanRcc"
"64","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_069_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.326618636472878
"65","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_070_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.329382280514296
"66","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_071_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.304886946067715
"67","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_072_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.30374172200275
"68","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_073_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.315611894180315
"69","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_074_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.323437608193796
"70","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_075_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.323330860653035
"71","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_076_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.304790699073233
"72","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_077_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.322560430725656
"73","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_078_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.312784614820032
"74","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_079_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.319064898091507
"75","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_080_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.326760829132048
"76","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_081_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.329103802531837
"77","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_082_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.33244646183794
"78","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_083_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.328035264689932
"79","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_084_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.327994729332106
"80","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_085_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.325169842688089
"81","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_086_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331741140095567
"82","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_087_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.318541160358579
"83","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_088_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.315512819576429
"84","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_089_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.311260900711328
"85","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_090_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.312414444236745
"86","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_091_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.330711994303405
"87","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_092_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.334039058829066
"88","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_093_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.315041304289009
"89","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_094_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.335887247151446
"90","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_095_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.319120530107135
"91","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_096_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331024432245688
"92","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_097_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.333158242660622
"93","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_098_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.311565975159536
"94","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_099_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.337066112789748
"95","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_100_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.342747071665183
"96","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_101_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.338136890677785
"97","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_102_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.339849515821503
"98","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_103_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331951449163827
"99","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_104_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.331354905537415
"100","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_105_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.326751006035143
"101","/Users/alles/Workspace/phenology/PEN/tky-2006-y18_d-imported/dc_2006_106_1200+0900_TKY__y18_d.jpg",2272,1704,1288929,0.326562546477559
